sylph	amrfporg
Acinetobacter baumannii	Acinetobacter_baumannii
Acinetobacter baumannii_B	Acinetobacter_baumannii
Acinetobacter calcoaceticus	Acinetobacter_baumannii
Acinetobacter calcoaceticus_B	Acinetobacter_baumannii
Acinetobacter calcoaceticus_C	Acinetobacter_baumannii
Acinetobacter calcoaceticus_D	Acinetobacter_baumannii
Acinetobacter calcoaceticus_E	Acinetobacter_baumannii
Acinetobacter lactucae	Acinetobacter_baumannii
Acinetobacter nosocomialis	Acinetobacter_baumannii
Acinetobacter pittii	Acinetobacter_baumannii
Acinetobacter pittii_E	Acinetobacter_baumannii
Acinetobacter pittii_H	Acinetobacter_baumannii
Acinetobacter seifertii	Acinetobacter_baumannii
Bordetella pertussis	Bordetella_pertussis
Burkholderia aenigmatica	Burkholderia_cepacia
Burkholderia ambifaria	Burkholderia_cepacia
Burkholderia ambifaria_A	Burkholderia_cepacia
Burkholderia anthina	Burkholderia_cepacia
Burkholderia anthina_A	Burkholderia_cepacia
Burkholderia arboris	Burkholderia_cepacia
Burkholderia cenocepacia	Burkholderia_cepacia
Burkholderia cepacia	Burkholderia_cepacia
Burkholderia cepacia_F	Burkholderia_cepacia
Burkholderia contaminans	Burkholderia_cepacia
Burkholderia diffusa	Burkholderia_cepacia
Burkholderia diffusa_B	Burkholderia_cepacia
Burkholderia dolosa	Burkholderia_cepacia
Burkholderia humptydooensis	Burkholderia_pseudomallei
Burkholderia lata	Burkholderia_cepacia
Burkholderia lata_B	Burkholderia_cepacia
Burkholderia latens	Burkholderia_cepacia
Burkholderia latens_A	Burkholderia_cepacia
Burkholderia mallei	Burkholderia_mallei
Burkholderia metallica	Burkholderia_cepacia
Burkholderia multivorans	Burkholderia_cepacia
Burkholderia multivorans_A	Burkholderia_cepacia
Burkholderia oklahomensis	Burkholderia_pseudomallei
Burkholderia orbicola	Burkholderia_cepacia
Burkholderia paludis	Burkholderia_cepacia
Burkholderia pseudomultivorans	Burkholderia_cepacia
Burkholderia puraquae	Burkholderia_cepacia
Burkholderia pyrrocinia	Burkholderia_cepacia
Burkholderia savannae	Burkholderia_pseudomallei
Burkholderia seminalis	Burkholderia_cepacia
Burkholderia singularis	Burkholderia_pseudomallei
Burkholderia stabilis	Burkholderia_cepacia
Burkholderia stagnalis	Burkholderia_cepacia
Burkholderia territorii	Burkholderia_cepacia
Burkholderia thailandensis	Burkholderia_pseudomallei
Burkholderia ubonensis	Burkholderia_cepacia
Burkholderia ubonensis_B	Burkholderia_cepacia
Burkholderia vietnamiensis	Burkholderia_cepacia
Campylobacter_D coli	Campylobacter
Campylobacter_D coli_A	Campylobacter
Campylobacter_D coli_B	Campylobacter
Campylobacter_D jejuni	Campylobacter
Campylobacter_D jejuni_A	Campylobacter
Campylobacter_D jejuni_B	Campylobacter
Campylobacter_D jejuni_C	Campylobacter
Campylobacter_D jejuni_D	Campylobacter
Citrobacter freundii	Citrobacter_freundii
Citrobacter freundii_A	Citrobacter_freundii
Clostridioides difficile	Clostridioides_difficile
Clostridioides difficile_A	Clostridioides_difficile
Clostridioides difficile_D	Clostridioides_difficile
Clostridioides difficile_E	Clostridioides_difficile
Clostridioides difficile_F	Clostridioides_difficile
Corynebacterium diphtheriae	Corynebacterium_diphtheriae
Enterobacter asburiae	Enterobacter_asburiae
Enterobacter asburiae_B	Enterobacter_asburiae
Enterobacter asburiae_D	Enterobacter_asburiae
Enterobacter asburiae_E	Enterobacter_asburiae
Enterobacter cancerogenus	Enterobacter_cloacae
Enterobacter chengduensis	Enterobacter_cloacae
Enterobacter chuandaensis	Enterobacter_cloacae
Enterobacter cloacae	Enterobacter_cloacae
Enterobacter cloacae_I	Enterobacter_cloacae
Enterobacter cloacae_L	Enterobacter_cloacae
